iteration,loss,entropy,lambda_0,lambda_1,loss_unreg,l1_reg
1,4.5802506095692994e+00,4.6050388871289814e+00,3.4389331362600375e-02,3.6284127648775970e-02,4.5784612230777046e+00,1.7893864915950169e-03
2,4.5557993558997891e+00,4.6046494749368971e+00,6.8508019166964806e-02,7.2246626786108742e-02,4.5522355549389752e+00,3.5638009608142699e-03
3,4.5318080471361641e+00,4.6040086756084468e+00,1.0235832367319500e-01,1.0789026941538843e-01,4.5264846765712718e+00,5.3233705648923230e-03
5,4.4851722098146087e+00,4.6019997688485521e+00,1.6926280406538344e-01,1.7823206365917701e-01,4.4763737267566226e+00,8.7984830579865819e-03
10,4.3760633013740726e+00,4.5930451998811028e+00,3.3198459652074142e-01,3.4870000331753365e-01,4.3588279598537580e+00,1.7235341520314765e-02
20,3.6979514113376304e+00,4.3335669874997977e+00,1.6745997135086312e+00,1.7022895262396074e+00,3.6124091740939654e+00,8.5542237243664832e-02
50,3.1742235612088661e+00,3.2342457183397157e+00,5.1947006066795485e+00,4.3545499735871589e+00,2.9317035593807237e+00,2.4252000182814248e-01
100,3.1709399997373402e+00,3.1712783920787224e+00,5.8677044710653954e+00,4.0237871880388889e+00,2.9190692696223897e+00,2.5187073011495065e-01
200,3.1709389280033711e+00,3.1709390908396893e+00,5.8795257077958025e+00,4.0135236923537887e+00,2.9190137833840968e+00,2.5192514461927434e-01
500,3.1709389280031237e+00,3.1709389280031219e+00,5.8795313502326705e+00,4.0135188002374367e+00,2.9190137572436337e+00,2.5192517075949006e-01
