iteration,loss,entropy,lambda_0,lambda_1
1,4.5534670404943650,4.6043911168777020,0.0000000000000000,0.14557239069988360
2,4.5044834711287370,4.6021307223743895,0.0000000000000000,0.28771862438045490
3,4.4580810114815135,4.5985044305670750,0.0000000000000000,0.42652212318552500
5,4.3720945694427650,4.5902747732142500,0.13045194323898000,0.56206675272495450
10,4.1835670471368130,4.5581876611341910,0.50462215463779670,0.81416863089897480
20,3.2037850143863950,3.4675596532919700,4.1326468050985650,4.1203851942018380
50,3.1709389711531526,3.1705613150634617,5.8805050188416580,4.0147649660976400
100,3.1709389280031215,3.1709389274966617,5.8795313566997620,4.0135187965429130
200,3.1709389280031215,3.1709389274966617,5.8795313566997620,4.0135187965429130
500,3.1709389280031215,3.1709389274966617,5.8795313566997620,4.0135187965429130
