iteration,loss,entropy,lambda_0,lambda_1,lambda_2,lambda_3
1,4.5421182033281940,4.6042914838480070,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.14854864986374924
2,4.4821067643752470,4.6027068726461810,0.0000000000000000,0.14408268085256518,0.0000000000000000,0.14854864986374924
3,4.4247504414752160,4.5998290427816150,0.0000000000000000,0.28483882065064636,0.0000000000000000,0.14854864986374924
5,4.3158369946915425,4.5903933898033730,0.0000000000000000,0.41998919999591570,0.0000000000000000,0.28834962567349490
10,4.0820758340185614,4.5483808348650310,0.0000000000000000,0.79734457419518620,0.0000000000000000,0.54702488440259380
20,3.2325401364872697,3.1735804811921800,0.18406863965575018,3.8763474799751347,0.19189022115372770,2.4854448484169174
50,3.1617709439417760,3.1469676964979194,1.6527633458811182,2.6166075278309027,4.4453724246267360,0.0000000000000000
100,3.1197924344039323,3.1197924344050634,6.0624645573901740,0.0000000000000000,4.1317372609637160,0.0000000000000000
200,3.1197924344039314,3.1197924344039296,6.0624645574787560,0.0000000000000000,4.1317372608782830,0.0000000000000000
500,3.1197924344039314,3.1197924344039296,6.0624645574787560,0.0000000000000000,4.1317372608782830,0.0000000000000000
