iteration,loss,entropy,lambda_0,lambda_1
1,4.5919762158069720,4.6051209056944950,0.0000000000000000,0.036604781482127605
2,4.5789575771384580,4.6049742394023000,0.0000000000000000,0.072994154039533780
3,4.5661120717763410,4.6047319543703695,0.0000000000000000,0.10916939674406069
5,4.5409317320516440,4.6039676243024820,0.0000000000000000,0.18088262615879633
10,4.4808594220309340,4.6005078813655570,0.0000000000000000,0.35650854103792520
20,4.0213577375549105,4.5123401428586970,0.91198943723147720,0.99513544416189480
50,3.1827696425731737,3.4475136786552927,4.9524410649266810,3.3851555018609534
100,3.1579614071592960,3.1580996217671466,5.9252497286919565,4.0429288878784880
200,3.1579614015374360,3.1579614016387360,5.9257279029901900,4.0432617743516340
500,3.1579614015374530,3.1579614015374450,5.9257279302356400,4.0432617466151050
