iteration,loss,entropy,lambda_0,lambda_1,loss_unreg,l1_reg
1,4.6051701859880918e+00,4.6051701859880820e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.6051701859880918e+00,0.0000000000000000e+00
2,4.6051701859880918e+00,4.6051701859880820e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.6051701859880918e+00,0.0000000000000000e+00
3,4.6051701859880918e+00,4.6051701859880820e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.6051701859880918e+00,0.0000000000000000e+00
5,4.6051701859880918e+00,4.6051701859880820e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.6051701859880918e+00,0.0000000000000000e+00
10,4.6051701859880918e+00,4.6051701859880820e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.6051701859880918e+00,0.0000000000000000e+00
20,4.6051701859880918e+00,4.6051701859880820e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.6051701859880918e+00,0.0000000000000000e+00
50,4.6051701859880918e+00,4.6051701859880820e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.6051701859880918e+00,0.0000000000000000e+00
100,4.6051701859880918e+00,4.6051701859880820e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.6051701859880918e+00,0.0000000000000000e+00
200,4.6051701859880918e+00,4.6051701859880820e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.6051701859880918e+00,0.0000000000000000e+00
500,4.6051701859880918e+00,4.6051701859880820e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.6051701859880918e+00,0.0000000000000000e+00
